Room temp neff,2.52672,Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),Center-to-center (um),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Resistance per bridge (kOhm),5.49,7,,,,8,,,,9,,,,10,,,,12,,,,15,,,,18,,,,20,,,,23,,,,24,,,,25,,,,100,,,,,,,,,,,,,,
Voltage (V),Power (mW),neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,neff 1,neff 2,Δφ 1,Δφ 2,,,,,,,,,,,
0.1,0.027322404,2.52673,2.52676,0.002026834,0.008107336,2.52673,2.52676,0.002026834,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,2.52672,2.52676,0,0.008107336,,,,,,,,,,,
0.2,0.109289618,2.52676,2.52688,0.008107336,0.032429344,2.52675,2.52688,0.006080502,0.032429344,2.52674,2.52689,0.004053668,0.034456177,2.52674,2.52688,0.004053668,0.032429344,2.52673,2.52689,0.002026834,0.034456177,2.52673,2.52688,0.002026834,0.032429344,2.52672,2.52689,0,0.034456177,2.52672,2.52689,0,0.034456177,2.52672,2.52689,0,0.034456177,2.52672,2.52689,0,0.034456177,2.52672,2.52689,0,0.034456177,2.52672,2.52689,0,0.034456177,,,,,,,,,,,
0.3,0.245901639,2.5268,2.52709,0.016214672,0.074992857,2.52678,2.52708,0.012161004,0.072966023,2.52677,2.5271,0.01013417,0.077019691,2.52676,2.52709,0.008107336,0.074992857,2.52674,2.5271,0.004053668,0.077019691,2.52673,2.52709,0.002026834,0.074992857,2.52673,2.52711,0.002026834,0.079046525,2.52673,2.5271,0.002026834,0.077019691,2.52672,2.5271,0,0.077019691,2.52672,2.5271,0,0.077019691,2.52672,2.5271,0,0.077019691,2.52672,2.5271,0,0.077019691,,,,,,,,,,,
0.4,0.43715847,2.52686,2.52737,0.028375676,0.131744208,2.52683,2.52736,0.022295174,0.129717374,2.5268,2.52739,0.016214672,0.135797876,2.52679,2.52738,0.014187838,0.133771042,2.52676,2.5274,0.008107336,0.13782471,2.52674,2.52737,0.004053668,0.131744208,2.52674,2.5274,0.004053668,0.13782471,2.52673,2.5274,0.002026834,0.13782471,2.52673,2.5274,0.002026834,0.13782471,2.52673,2.5274,0.002026834,0.13782471,2.52673,2.52739,0.002026834,0.135797876,2.52672,2.52739,0,0.135797876,,,,,,,,,,,
0.5,0.683060109,2.52694,2.52773,0.044590347,0.204710231,2.52689,2.52772,0.034456177,0.202683397,2.52685,2.52776,0.026348842,0.210790733,2.52682,2.52774,0.02026834,0.206737065,2.52679,2.52777,0.014187838,0.212817567,2.52676,2.52773,0.008107336,0.204710231,2.52674,2.52778,0.004053668,0.214844401,2.52674,2.52777,0.004053668,0.212817567,2.52673,2.52778,0.002026834,0.214844401,2.52673,2.52777,0.002026834,0.212817567,2.52673,2.52777,0.002026834,0.212817567,2.52672,2.52777,0,0.212817567,,,,,,,,,,,
0.6,0.983606557,2.52704,2.52816,0.064858687,0.291864092,2.52696,2.52815,0.048644015,0.289837258,2.52691,2.5282,0.038509845,0.299971428,2.52687,2.52818,0.03040251,0.29591776,2.52682,2.52823,0.02026834,0.30605193,2.52678,2.52817,0.012161004,0.293890926,2.52675,2.52824,0.006080502,0.308078763,2.52675,2.52823,0.006080502,0.30605193,2.52674,2.52823,0.004053668,0.30605193,2.52673,2.52823,0.002026834,0.30605193,2.52673,2.52822,0.002026834,0.304025096,2.52672,2.52822,0,0.304025096,,,,,,,,,,,
0.7,1.338797814,2.52715,2.52867,0.087153861,0.395232624,2.52704,2.52866,0.064858687,0.39320579,2.52697,2.52872,0.050670849,0.405366794,2.52692,2.52869,0.040536679,0.399286292,2.52685,2.52876,0.026348842,0.41347413,2.5268,2.52868,0.016214672,0.397259458,2.52677,2.52877,0.01013417,0.415500964,2.52675,2.52875,0.006080502,0.411447296,2.52674,2.52877,0.004053668,0.415500964,2.52674,2.52876,0.004053668,0.41347413,2.52674,2.52874,0.004053668,0.409420462,2.52672,2.52875,0,0.411447296,,,,,,,,,,,
0.8,1.74863388,2.52728,2.52925,0.113502702,0.512788994,2.52714,2.52923,0.085127027,0.508735327,2.52705,2.52931,0.066885521,0.524949998,2.52698,2.52927,0.052697683,0.516842662,2.52689,2.52936,0.034456177,0.535084168,2.52682,2.52925,0.02026834,0.512788994,2.52678,2.52937,0.012161004,0.537111002,2.52676,2.52935,0.008107336,0.533057334,2.52675,2.52937,0.006080502,0.537111002,2.52675,2.52936,0.006080502,0.535084168,2.52674,2.52934,0.004053668,0.5310305,2.52672,2.52934,0,0.5310305,,,,,,,,,,,
0.9,2.213114754,2.52742,2.52989,0.141878378,0.642506369,2.52725,2.52986,0.1074222,0.636425867,2.52713,2.52997,0.083100193,0.65872104,2.52704,2.52992,0.064858687,0.64858687,2.52694,2.53002,0.044590347,0.66885521,2.52684,2.52989,0.024322008,0.642506369,2.5268,2.53004,0.016214672,0.672908878,2.52678,2.53002,0.012161004,0.66885521,2.52676,2.53004,0.008107336,0.672908878,2.52675,2.53002,0.006080502,0.66885521,2.52675,2.53,0.006080502,0.664801542,2.52672,2.53001,0,0.666828376,,,,,,,,,,,
1,2.732240437,2.52757,2.53059,0.172280888,0.784384746,2.52736,2.53056,0.129717374,0.778304245,2.52722,2.53068,0.101341699,0.802626252,2.52711,2.53063,0.079046525,0.792492082,2.52699,2.53075,0.054724517,0.81681409,2.52687,2.5306,0.03040251,0.78641158,2.52681,2.53078,0.018241506,0.822894592,2.52679,2.53075,0.014187838,0.81681409,2.52677,2.53077,0.01013417,0.820867758,2.52676,2.53075,0.008107336,0.81681409,2.52676,2.53072,0.008107336,0.810733588,2.52672,2.53073,0,0.812760422,,,,,,,,,,,
